Date,Date2,Open,High,Low,Close
2011-07-07,40731,12627.23,12753.89,12627.23,12719.49
2011-07-08,40732,12717.9,12717.9,12567.41,12657.2
2011-07-11,40735,12655.62,12655.84,12470.3,12505.76
2011-07-12,40736,12505.54,12570.58,12446.88,12446.88
2011-07-13,40737,12447.33,12611.04,12447.33,12491.61
2011-07-14,40738,12491.53,12581.98,12414.41,12437.12
2011-07-15,40739,12437.12,12504.82,12406.09,12479.73
2011-07-18,40742,12475.11,12475.26,12296.23,12385.16
2011-07-19,40743,12386.03,12607.56,12385.96,12587.42
2011-07-20,40744,12583.68,12603.51,12546.56,12571.91
2011-07-21,40745,12567.07,12751.43,12566.61,12724.41
2011-07-22,40746,12724.71,12740.87,12644.19,12681.16
2011-07-25,40749,12679.72,12679.95,12536.19,12592.8
2011-07-26,40750,12592.12,12593.4,12489.04,12501.3
2011-07-27,40751,12498.42,12498.65,12289.69,12302.55
2011-07-28,40752,12301.72,12384.9,12226.83,12240.11
2011-07-29,40753,12239.36,12243.07,12083.45,12143.24
2011-08-01,40756,12144.22,12282.42,11998.08,12132.49
2011-08-02,40757,12129.77,12130.3,11865.56,11866.62
2011-08-03,40758,11863.74,11904.91,11700.34,11896.44
2011-08-04,40759,11893.86,11893.94,11372.14,11383.68
2011-08-05,40760,11383.98,11555.41,11139,11444.61
2011-08-08,40763,11433.93,11434.09,10809.85,10809.85
2011-08-09,40764,10810.91,11244.01,10604.07,11239.77
2011-08-10,40765,11228,11228,10686.49,10719.94
2011-08-11,40766,10729.85,11278.9,10729.85,11143.31
2011-08-12,40767,11143.46,11346.67,11142.18,11269.02
2011-08-15,40770,11269.85,11484.6,11269.85,11482.9
2011-08-16,40771,11480.48,11488.01,11292.63,11405.93
2011-08-17,40772,11392.01,11529.67,11322.3,11410.21
2011-08-18,40773,11406.27,11406.5,10881.6,10990.58
2011-08-19,40774,10989.75,11086.4,10801.41,10817.65
2011-08-22,40777,10820.37,11020.55,10820.37,10854.65
2011-08-23,40778,10854.58,11176.84,10854.43,11176.76
2011-08-24,40779,11175.78,11331.57,11113.04,11320.71
2011-08-25,40780,11321.02,11406.39,11106.76,11149.82
2011-08-26,40781,11149.82,11326.43,10929.2,11284.54
2011-08-29,40784,11286.65,11541.78,11286.58,11539.25
2011-08-30,40785,11532.13,11630.07,11429.39,11559.95
2011-08-31,40786,11560.48,11712.6,11528.08,11613.53
2011-09-01,40787,11613.3,11716.84,11488.46,11493.57
