Date,Date2,Open,High,Low,Close
2011-07-07,40731,595.76,603.39,595.76,601.81
2011-07-08,40732,601.58,601.58,593.84,598.03
2011-07-11,40735,597.82,597.82,586.65,588.15
2011-07-12,40736,588.31,591.63,585.29,585.3
2011-07-13,40737,585.95,593.34,585.95,587.57
2011-07-14,40738,587.57,592.08,583.77,584.74
2011-07-15,40739,586.33,589.06,584.23,587.72
2011-07-18,40742,587.71,587.71,579.59,584.06
2011-07-19,40743,584.06,594.11,584.06,593.42
2011-07-20,40744,593.44,595.57,592.77,593.64
2011-07-21,40745,593.35,603.16,593.35,601.89
2011-07-22,40746,601.88,602.9,598.98,602.51
2011-07-25,40749,602.18,602.18,596.28,599.41
2011-07-26,40750,599.41,600.1,596.11,596.88
2011-07-27,40751,596.88,596.88,585.48,586.18
2011-07-28,40752,586.13,590.99,583.62,584.27
2011-07-29,40753,584.27,585.18,576.7,579.72
2011-08-01,40756,584.99,585.26,572.7,578.65
2011-08-02,40757,578.65,578.65,565.02,565.03
2011-08-03,40758,565.08,568.01,557.17,567.57
2011-08-04,40759,566.9,566.9,541.52,541.84
2011-08-05,40760,541.9,549.74,528.14,542.48
2011-08-08,40763,542.48,542.48,508.63,508.63
2011-08-09,40764,508.76,531.27,499.3,531.1
2011-08-10,40765,530.25,530.25,505.23,506.61
2011-08-11,40766,506.81,534.73,506.81,528.67
2011-08-12,40767,528.67,536.16,528.17,531.37
2011-08-15,40770,531.37,542.82,531.37,542.82
2011-08-16,40771,542.84,542.84,532.54,538.03
2011-08-17,40772,538.03,545.12,534.98,539.25
2011-08-18,40773,537.02,537.02,512.53,517.11
2011-08-19,40774,516.92,522.53,508.32,509.01
2011-08-22,40777,509.97,518.74,507.47,508.67
2011-08-23,40778,508.67,525.48,508.6,525.48
2011-08-24,40779,525.48,532.56,522.93,532.04
2011-08-25,40780,531.38,538.5,522.89,524.82
2011-08-26,40781,524.63,533.74,514.74,531.51
2011-08-29,40784,531.51,545.22,531.51,545.11
2011-08-30,40785,545.02,549,538.77,545.77
2011-08-31,40786,546.02,553.16,543.81,548.01
2011-09-01,40787,548.12,552.63,541.78,541.98
2011-09-02,40788,541.98,541.98,527.28,528.88
2011-09-06,40792,528.88,528.88,514.11,524.83
2011-09-07,40793,524.9,538.67,524.9,538.67
2011-09-08,40794,538.37,541.41,532.42,533.35
2011-09-09,40795,533.02,533.02,517.15,519.54
2011-09-12,40798,519.37,523.26,511.64,523.2
2011-09-13,40799,523.36,528.81,521.04,527.02
2011-09-14,40800,527.2,539.92,522.88,533.76
2011-09-15,40801,534.14,543.13,534.14,543.13
2011-09-16,40802,543.1,547.8,541.19,546.43
2011-09-19,40805,546.43,546.43,534.29,541.44
2011-09-20,40806,541.6,548.15,540.5,540.81
2011-09-21,40807,540.83,542.99,526.05,526.34
2011-09-22,40808,526.34,526.34,502.64,509.56
2011-09-23,40809,509.19,514.69,505.68,512.53
2011-09-26,40812,512.76,525.43,511.12,524.74
2011-09-27,40813,525.09,538.76,525.09,529.82
2011-09-28,40814,529.82,534.57,520.18,520.51
2011-09-29,40815,521.34,531.91,516.8,525.69
2011-09-30,40816,525.69,525.69,513.32,513.37
2011-10-03,40819,513.35,516.82,499.96,500.09
2011-10-04,40820,500.09,510.63,488.67,509.88
2011-10-05,40821,509.88,519.13,505.95,518.27
2011-10-06,40822,518.26,527.05,514.16,526.73
2011-10-07,40823,526.84,529.87,521.21,523.36
2011-10-10,40826,523.36,540.9,523.36,540.88
2011-10-11,40827,540.96,543.12,537.76,541.31
2011-10-12,40828,541.31,552.27,541.31,546.63
2011-10-13,40829,546.68,546.68,539.85,544.92
2011-10-14,40830,545.01,554.65,545.01,554.6
2011-10-17,40833,554.39,554.39,543.04,544.1
2011-10-18,40834,543.98,558.19,540.51,554.59
2011-10-19,40835,553.28,556.04,545.73,547.38
2011-10-20,40836,547.48,551.78,542.23,549.83
2011-10-21,40837,549.83,559.14,549.83,558.47
2011-10-24,40840,558.47,565.43,558.47,564.24
2011-10-25,40841,564.24,564.24,552.88,553.95
2011-10-26,40842,553.72,560.98,550.19,559.44
2011-10-27,40843,560.31,580.67,560.31,577.3
2011-10-28,40844,577.15,578.25,573.87,577.38
2011-10-31,40847,577.22,577.22,563.31,563.37
2011-11-01,40848,563.37,563.37,546.79,547.9
2011-11-02,40849,548.47,557.91,548.47,556.05
2011-11-03,40850,556.21,567.25,555.48,566.31
2011-11-04,40851,566.1,566.1,556.52,561.97
2011-11-07,40854,561.98,566.45,557.14,566.21
2011-11-08,40855,566.21,573.84,564.26,573.03
2011-11-09,40856,572.04,572.04,551.68,553.05
2011-11-10,40857,553.05,560.65,552.52,557.69
2011-11-11,40858,557.69,569.28,557.69,567.79
2011-11-14,40861,567.79,567.79,560.38,562.72
2011-11-15,40862,562.69,568.32,559.89,565.3
2011-11-16,40863,565.3,566.25,555.56,556.18
2011-11-17,40864,556.07,557.24,544.82,548.07
2011-11-18,40865,548.06,551.33,546.04,547.8
2011-11-21,40868,547.8,547.8,533.2,537.24
2011-11-22,40869,537.24,538.98,532.65,535.36
2011-11-23,40870,535.22,535.22,524.03,524.03
2011-11-25,40872,524.03,529.14,522.27,522.27
2011-11-28,40875,522.27,539.15,522.27,537.21
2011-11-29,40876,537.19,542.63,537.14,538.95
2011-11-30,40877,539.24,561.98,539.24,561.96
2011-12-01,40878,561.96,563.41,558.63,561.13
2011-12-02,40879,561.49,568.19,561.49,561.85
2011-12-05,40882,561.85,571.36,561.85,567.4
2011-12-06,40883,567.4,571.93,565.91,568.43
2011-12-07,40884,568.43,573.1,563.2,570.31
2011-12-08,40885,570.31,570.31,557.77,559.17
2011-12-09,40886,559.17,569.59,559.17,568.17
2011-12-12,40889,568.17,568.17,556,560.01
2011-12-13,40890,560.26,566.33,553.59,556.38
2011-12-14,40891,556.38,556.38,549.01,550.35
2011-12-15,40892,550.35,556.7,550.35,551.87
2011-12-16,40893,551.87,558.31,551.64,553.61
2011-12-19,40896,553.61,555.54,546.1,547.54
2011-12-20,40897,547.54,563.9,547.54,563.13
2011-12-21,40898,563.13,564.68,558,564.09
2011-12-22,40899,564.15,569.01,564.15,568.53
2011-12-23,40900,568.57,574.05,568.57,574
2011-12-27,40904,573.96,575.81,572.79,573.51
2011-12-28,40905,573.53,573.82,566.46,566.96
2011-12-29,40906,566.99,573.37,566.99,573.15
2011-12-30,40907,573.01,573.65,570.69,570.79
2012-01-03,40911,570.79,582.75,570.79,580.56
2012-01-04,40912,580.56,581.87,576.77,581.29
2012-01-05,40913,581.29,583.38,576.08,582.36
2012-01-06,40914,582.3,582.75,578.6,580.53
2012-01-09,40917,580.53,582.49,579.37,581.88
2012-01-10,40918,582.03,588.43,582.03,585.89
2012-01-11,40919,585.87,586.65,582.69,586.02
2012-01-12,40920,586.02,587.96,583.15,587
2012-01-13,40921,586.66,586.66,579.02,584.28
2012-01-17,40925,584.84,590.36,584.84,586.26
2012-01-18,40926,586.23,592.55,585.13,592.52
2012-01-19,40927,592.52,595.39,592.45,594.93
2012-01-20,40928,594.93,595.97,592.59,595.95
2012-01-23,40931,595.88,598.55,593.2,595.89
2012-01-24,40932,595.88,595.88,591.37,594.44
2012-01-25,40933,594.28,600.63,592.06,599.58
2012-01-26,40934,599.63,602.8,594.47,596.62
2012-01-27,40935,596.56,596.97,593.44,595.37
2012-01-30,40938,595.21,595.21,588.61,594.51
2012-01-31,40939,594.59,597.83,591.31,593.83
2012-02-01,40940,593.83,601.15,593.83,598.02
2012-02-02,40941,598.13,600.25,596.74,598.54
2012-02-03,40942,598.93,607.14,598.93,606.89
2012-02-06,40945,606.62,607.87,603.99,607.83
2012-02-07,40946,607.71,609.95,604.13,608.93
2012-02-08,40947,608.93,610.45,606.59,610.38
2012-02-09,40948,610.37,612.39,608.38,611.1
2012-02-10,40949,610.85,610.85,604.58,607.12
2012-02-13,40952,607.21,612.28,607.21,611.54
2012-02-14,40953,611.52,611.52,606.3,610.82
2012-02-15,40954,610.82,612.87,605.73,606.73
2012-02-16,40955,606.2,613.72,605.41,613.24
2012-02-17,40956,612.69,615.76,612.69,615.06
2012-02-21,40960,615.35,618.74,614.66,616.75
2012-02-22,40961,616.7,616.7,613.67,614.53
2012-02-23,40962,614.52,617.06,611.77,616.69
2012-02-24,40963,616.69,618.76,616.53,617.67
2012-02-27,40966,617.17,620.88,612.91,618.86
2012-02-28,40967,618.86,622.34,618.33,621.92
2012-02-29,40968,621.93,625.1,618.38,619.45
2012-03-01,40969,619.53,624.2,619.53,623.16
2012-03-02,40970,623.15,623.34,620.29,621.72
2012-03-05,40973,621.72,621.72,616.91,619.51
2012-03-06,40974,619.51,619.51,608.89,610.56
2012-03-07,40975,610.57,615.5,610.57,614.43
2012-03-08,40976,614.8,621.39,614.8,619.95
2012-03-09,40977,619.95,623.51,619.95,621.3
2012-03-12,40980,621.24,622.78,619.98,622.22
2012-03-13,40981,622.32,633.98,622.32,633.89
2012-03-14,40982,633.85,635.85,631.76,633.86
2012-03-15,40983,634.62,637.32,633.44,637.31
2012-03-16,40984,637.31,638.87,636.57,637.85
2012-03-19,40987,637.81,643.03,637.35,641.11
2012-03-20,40988,641.04,641.04,636.16,639.89
2012-03-21,40989,639.91,640.8,637.35,637.9
2012-03-22,40990,637.84,637.84,631.99,633.77
2012-03-23,40991,633.77,636.62,631.53,635.57
2012-03-26,40994,635.6,644.42,635.6,644.38
2012-03-27,40995,644.39,645.52,642.14,642.41
2012-03-28,40996,642.39,643.21,636.32,639.98
2012-03-29,40997,639.97,639.97,633.53,638.47
2012-03-30,40998,638.73,641.6,637.66,640.68
2012-04-02,41001,640.68,646.76,638.7,645.29
2012-04-03,41002,645.24,645.53,638.77,642.65
2012-04-04,41003,642.59,642.59,633.82,636.19
2012-04-05,41004,636.12,637.35,633.24,635.84
2012-04-09,41008,635.84,635.84,627.53,629.27
2012-04-10,41009,629.26,630,618.45,619.14
2012-04-11,41010,619.14,626.07,619.14,623.16
2012-04-12,41011,623.16,631.47,623.16,631.19
2012-04-13,41012,631.19,631.19,622.4,622.64
2012-04-16,41015,622.64,627.03,620.55,622.27
2012-04-17,41016,622.32,633.22,622.32,632.41
2012-04-18,41017,632.43,632.43,629.23,629.83
2012-04-19,41018,629.8,631.66,622.19,625.29
2012-04-20,41019,625.3,630.74,625.3,626.1
2012-04-23,41022,626,626,618.09,621.42
2012-04-24,41023,621.47,625.76,621.25,624.15
2012-04-25,41024,624.2,633.44,624.2,632.86
2012-04-26,41025,632.86,637.83,631.37,636.79
2012-04-27,41026,636.85,639.71,635.81,637.99
2012-04-30,41029,637.99,637.99,633.71,635.45
2012-05-01,41030,635.45,643.29,634.71,638.84
2012-05-02,41031,638.64,638.64,633.66,637.27
2012-05-03,41032,637.27,637.79,631.56,632.97
2012-05-04,41033,632.7,632.7,622.4,622.73
2012-05-07,41036,622.33,625.35,620.5,623.36
2012-05-08,41037,622.39,622.39,614.4,620.94
2012-05-09,41038,620.77,620.77,611.68,616.13
2012-05-10,41039,616.24,621.32,616.24,618.05
2012-05-11,41040,618.05,620.98,613.66,615.34
2012-05-14,41043,615.34,615.34,607.93,608.6
2012-05-15,41044,608.6,611.83,604.38,605.32
2012-05-16,41045,605.32,610.74,603.38,603.5
