Date,Date2,Open,High,Low,Close
2011-07-07,40731,50.67,51.14,50.57,51.03
2011-07-08,40732,50.48,51.43,50.31,51.39
2011-07-11,40735,50.91,51.4,50.4,50.57
2011-07-12,40736,50.5,51.1,49.8,50.54
2011-07-13,40737,51.19,51.43,50.91,51.15
2011-07-14,40738,51.57,51.66,50.91,51.11
2011-07-15,40739,51.6,52.14,51.31,52.13
2011-07-18,40742,52.2,53.52,52.18,53.4
2011-07-19,40743,54,54.09,53.33,53.84
2011-07-20,40744,56.59,56.61,55.14,55.27
2011-07-21,40745,55.28,55.72,54.84,55.33
2011-07-22,40746,55.47,56.44,55.39,56.19
2011-07-25,40749,55.76,57.14,55.66,56.93
2011-07-26,40750,57.14,57.79,57.1,57.63
2011-07-27,40751,57.23,57.52,56.02,56.08
2011-07-28,40752,55.95,56.71,55.45,55.97
2011-07-29,40753,55.38,56.45,54.86,55.78
2011-08-01,40756,56.83,57.07,56.05,56.68
2011-08-02,40757,56.81,56.84,55.48,55.56
2011-08-03,40758,55.85,56.22,54.61,56.08
2011-08-04,40759,55.63,55.9,53.91,53.91
2011-08-05,40760,54.35,54.79,51.8,53.37
2011-08-08,40763,51.67,52.54,50.43,50.46
2011-08-09,40764,51.61,53.52,50.71,53.43
2011-08-10,40765,53.02,53.52,51.79,51.96
2011-08-11,40766,52.93,53.64,52.1,53.39
2011-08-12,40767,54.01,54.23,53.46,53.86
2011-08-15,40770,54.23,55,54.01,54.77
2011-08-16,40771,54.5,54.77,53.72,54.35
2011-08-17,40772,54.62,54.93,54,54.35
2011-08-18,40773,52.98,53.24,51.62,52.29
2011-08-19,40774,51.74,52.43,50.86,50.86
2011-08-22,40777,52.07,52.13,50.73,50.92
2011-08-23,40778,51.47,53.38,51,53.37
2011-08-24,40779,53.35,54.14,52.94,53.74
2011-08-25,40780,52.15,53.64,52.14,53.39
2011-08-26,40781,53.02,54.83,52.97,54.8
2011-08-29,40784,55.45,55.93,55.43,55.71
2011-08-30,40785,55.46,55.98,55.17,55.71
2011-08-31,40786,55.8,56.01,54.55,54.98
2011-09-01,40787,55.12,55.33,54.39,54.43
2011-09-02,40788,53.53,54,53.12,53.44
2011-09-06,40792,52.48,54.33,52.35,54.25
2011-09-07,40793,55.08,55.09,54.57,54.85
2011-09-08,40794,54.63,55.52,54.62,54.88
2011-09-09,40795,54.85,55.14,53.57,53.93
2011-09-12,40798,53.29,54.41,53.13,54.28
2011-09-13,40799,54.59,55.17,54.32,54.95
2011-09-14,40800,55.29,56.03,55.11,55.61
2011-09-15,40801,55.92,56.24,55.7,56.14
2011-09-16,40802,56.51,57.21,56.43,57.21
2011-09-19,40805,56.71,59.03,56.46,58.8
2011-09-20,40806,59.32,60.41,58.74,59.06
2011-09-21,40807,59.95,60.23,58.86,58.88
2011-09-22,40808,57.29,58.55,56.67,57.4
2011-09-23,40809,57.18,58.11,57.12,57.76
2011-09-26,40812,57.12,57.71,55.9,57.6
2011-09-27,40813,58.39,58.46,56.87,57.04
2011-09-28,40814,57.17,57.68,56.64,56.72
2011-09-29,40815,57.42,57.46,55.17,55.8
