Date,Date2,Open,High,Low,Close
2011-07-07,40731,10.9,10.96,10.85,10.92
2011-07-08,40732,10.75,10.8,10.61,10.7
2011-07-11,40735,10.53,10.55,10.3,10.35
2011-07-12,40736,10.27,10.4,10.2,10.21
2011-07-13,40737,10.27,10.36,10.15,10.2
2011-07-14,40738,10.3,10.33,10.06,10.07
2011-07-15,40739,10.12,10.18,9.88,10
2011-07-18,40742,9.88,9.93,9.53,9.72
2011-07-19,40743,9.75,9.85,9.4,9.57
2011-07-20,40744,9.66,10,9.63,9.85
2011-07-21,40745,10.03,10.28,10,10.23
2011-07-22,40746,10.26,10.27,10.05,10.13
2011-07-25,40749,9.97,10.07,9.88,10.01
2011-07-26,40750,9.97,10.09,9.91,10
2011-07-27,40751,9.92,9.94,9.68,9.68
2011-07-28,40752,9.72,9.85,9.69,9.79
2011-07-29,40753,9.64,9.95,9.6,9.71
2011-08-01,40756,10.04,10.05,9.7,9.81
2011-08-02,40757,9.76,9.86,9.47,9.49
2011-08-03,40758,9.49,9.59,9.32,9.54
2011-08-04,40759,9.37,9.46,8.77,8.83
2011-08-05,40760,8.97,9.05,8.03,8.17
2011-08-08,40763,7.4,7.7,6.31,6.51
2011-08-09,40764,7.02,7.66,6.68,7.6
2011-08-10,40765,7.53,7.59,6.74,6.77
2011-08-11,40766,7.1,7.42,6.96,7.25
2011-08-12,40767,7.49,7.71,7.13,7.19
2011-08-15,40770,7.46,7.84,7.35,7.76
2011-08-16,40771,7.61,7.66,7.34,7.4
2011-08-17,40772,7.46,7.59,7.4,7.46
2011-08-18,40773,7.05,7.09,6.78,7.01
2011-08-19,40774,6.8,7.12,6.75,6.97
2011-08-22,40777,7.2,7.22,6.42,6.42
2011-08-23,40778,6.37,6.44,6.01,6.3
2011-08-24,40779,6.36,7.05,6.32,6.99
2011-08-25,40780,8.29,8.8,7.38,7.65
2011-08-26,40781,7.62,7.98,7.45,7.76
2011-08-29,40784,8.1,8.41,7.96,8.39
2011-08-30,40785,8.29,8.39,8.05,8.12
2011-08-31,40786,8.28,8.29,8.11,8.17
2011-09-01,40787,8.18,8.18,7.91,7.91
