Date,Date2,Open,High,Low,Close
2011-07-07,40731,75.33,76.2,74.85,75.99
2011-07-08,40732,75.58,75.58,74.57,75.07
2011-07-11,40735,74.17,74.73,73,73.35
2011-07-12,40736,73.62,73.86,71.79,71.93
2011-07-13,40737,72.56,73.25,71.86,72.17
2011-07-14,40738,71.94,72.32,71,71.19
2011-07-15,40739,71.7,71.71,70.85,71.28
2011-07-18,40742,70.66,70.7,69.07,69.55
2011-07-19,40743,70.11,70.99,69.31,70.53
2011-07-20,40744,71.12,73.3,70.76,72.07
2011-07-21,40745,72.58,73.25,72,72.89
2011-07-22,40746,73.19,73.19,72.24,72.67
2011-07-25,40749,71.38,72.01,71.01,71.31
2011-07-26,40750,71.38,71.44,69.86,70.16
2011-07-27,40751,71.73,73.2,70.53,70.63
2011-07-28,40752,71,72.33,70.59,70.66
2011-07-29,40753,70,71.11,69.25,70.47
2011-08-01,40756,71.61,71.63,69.53,70.33
2011-08-02,40757,69.56,70.29,67.69,67.7
2011-08-03,40758,67.89,68.11,66.1,67.34
2011-08-04,40759,66.36,66.38,63,63.09
2011-08-05,40760,64.09,64.45,61.41,62.75
2011-08-08,40763,61.1,61.81,58.61,58.71
2011-08-09,40764,60.04,62.46,58.76,62.34
2011-08-10,40765,60.92,61.2,57.23,57.41
2011-08-11,40766,57.65,59.57,56.01,58.85
2011-08-12,40767,59.95,61.87,59.16,61.75
2011-08-15,40770,62.06,62.73,61.37,62.7
2011-08-16,40771,61.73,62.98,61.41,62.23
2011-08-17,40772,62.44,62.92,61.61,62.18
2011-08-18,40773,60.4,60.72,58.22,58.93
2011-08-19,40774,58.3,59.43,57.47,57.54
2011-08-22,40777,59.14,59.36,58.03,58.38
2011-08-23,40778,58.7,60.77,58.19,60.77
2011-08-24,40779,60.59,61.91,60.45,61.69
2011-08-25,40780,62.05,62.39,60.5,61.1
2011-08-26,40781,60.64,62.97,60.13,62.8
2011-08-29,40784,63.99,64.78,63.6,64.6
2011-08-30,40785,65.23,66.54,64.8,66.03
2011-08-31,40786,66.69,67.29,66.14,66.86
2011-09-01,40787,66.96,67.73,66,66.05
2011-09-02,40788,65.01,65.15,63.71,64.03
2011-09-06,40792,61.91,62.9,61.22,62.77
2011-09-07,40793,63.94,65.21,63.42,64.9
2011-09-08,40794,64.34,64.5,62.61,62.81
2011-09-09,40795,62.11,63.09,61.44,61.79
2011-09-12,40798,60.83,62.53,60.33,62.39
2011-09-13,40799,62.3,63.59,62.03,62.85
2011-09-14,40800,63.05,64.07,61.64,63.03
2011-09-15,40801,63.65,64.61,63.45,64.32
2011-09-16,40802,64.78,65.75,64.52,65.38
2011-09-19,40805,64.08,64.4,62.95,64.15
2011-09-20,40806,64.36,64.64,63.5,63.56
2011-09-21,40807,63.54,63.82,60.99,61.02
2011-09-22,40808,59.33,59.59,57.53,58.72
2011-09-23,40809,58.57,59.77,58.06,59.51
2011-09-26,40812,60.8,62.27,60,62.01
2011-09-27,40813,64.13,64.28,62.41,62.78
2011-09-28,40814,63.28,64.05,61.81,61.92
2011-09-29,40815,63.2,63.7,61.36,62.37
2011-09-30,40816,61.5,62.18,60.45,60.51
2011-10-03,40819,60.1,61.53,57.85,58.25
2011-10-04,40820,57.53,59.23,56.9,59.14
