Date,Date2,Open,High,Low,Close
2011-07-07,40731,31.79,32.08,31.65,31.8
2011-07-08,40732,31.25,31.7,31.16,31.58
2011-07-11,40735,30.98,31.2,30.55,30.75
2011-07-12,40736,30.24,30.94,30.02,30.68
2011-07-13,40737,30.87,31.3,30.61,30.75
2011-07-14,40738,30.85,30.97,30.03,30.1
2011-07-15,40739,30.39,30.62,29.51,29.76
2011-07-18,40742,29.57,29.65,28.62,29.1
2011-07-19,40743,29.2,29.49,28.76,29.33
2011-07-20,40744,29.45,29.48,29.05,29.24
2011-07-21,40745,29.39,30.02,29.16,29.96
2011-07-22,40746,29.97,30.29,29.88,30.1
2011-07-25,40749,29.53,29.84,29.39,29.5
2011-07-26,40750,29.67,29.7,28.96,29.09
2011-07-27,40751,28.9,29,28.03,28.14
2011-07-28,40752,28.22,28.9,28.02,28.1
2011-07-29,40753,27.62,28.1,27.31,27.68
2011-08-01,40756,28.88,28.88,27.7,28.07
2011-08-02,40757,27.75,28.09,27.02,27.05
2011-08-03,40758,27.03,27.17,26.13,27.17
2011-08-04,40759,27.16,27.2,25.71,25.99
2011-08-05,40760,26.07,26.46,24.49,26.31
2011-08-08,40763,24.61,25.35,23.79,24.57
2011-08-09,40764,25.09,25.56,24,25.54
2011-08-10,40765,24.66,25,23.83,23.92
2011-08-11,40766,24.11,26.17,24.11,25.81
2011-08-12,40767,26.3,26.5,25.49,25.75
2011-08-15,40770,26.03,26.54,25.79,26.42
2011-08-16,40771,26.22,26.69,25.69,25.83
2011-08-17,40772,26,26.09,24.9,24.94
2011-08-18,40773,23.99,24.08,23.27,23.6
2011-08-19,40774,23.25,23.44,21.71,22.16
2011-08-22,40777,22.54,22.72,21.18,21.71
2011-08-23,40778,21.78,22.06,21.21,22.06
2011-08-24,40779,21.89,22.39,21.57,22.37
2011-08-25,40780,22.49,22.74,22.1,22.3
2011-08-26,40781,22.2,23.08,21.8,22.87
2011-08-29,40784,23.3,23.96,23.27,23.79
2011-08-30,40785,23.46,23.74,23.05,23.58
2011-08-31,40786,23.87,24.49,23.83,24.03
2011-09-01,40787,24.09,24.25,22.91,23.03
2011-09-02,40788,22.41,22.55,21.73,22.07
2011-09-06,40792,21.36,21.58,20.88,21.44
2011-09-07,40793,21.82,23.04,21.82,22.86
2011-09-08,40794,22.79,23.13,22.24,22.48
2011-09-09,40795,22.36,22.45,21.47,21.76
2011-09-12,40798,21.15,21.95,21,21.87
2011-09-13,40799,21.87,22.33,21.5,22
2011-09-14,40800,22.22,22.49,21.62,22.18
2011-09-15,40801,22.59,22.79,22.15,22.7
2011-09-16,40802,22.68,22.77,22.34,22.61
2011-09-19,40805,22.15,23.17,22.05,23.05
2011-09-20,40806,23.05,23.1,22.42,22.43
2011-09-21,40807,22.39,22.7,21.22,21.28
2011-09-22,40808,20.59,20.99,20.04,20.24
2011-09-23,40809,19.77,21.28,19.77,21
2011-09-26,40812,21.32,21.44,20.53,21.08
2011-09-27,40813,21.6,21.83,21.08,21.19
2011-09-28,40814,21.2,21.44,20.37,20.41
2011-09-29,40815,20.72,20.97,20.11,20.76
2011-09-30,40816,20.44,20.5,20.1,20.18
2011-10-03,40819,20.13,20.9,19.65,19.73
2011-10-04,40820,19.45,21.46,19.05,21.42
2011-10-05,40821,21.33,22.29,20.76,22.27
2011-10-06,40822,22.3,22.6,21.75,22.35
2011-10-07,40823,22.58,22.93,21.82,22.01
2011-10-10,40826,22.51,22.96,22.36,22.62
2011-10-11,40827,22.43,22.69,22.28,22.5
2011-10-12,40828,22.94,23.97,22.86,23.41
2011-10-13,40829,23.38,23.38,22.5,23.15
2011-10-14,40830,23.68,24.16,23.36,24.16
2011-10-17,40833,24.17,24.19,23.15,23.18
2011-10-18,40834,23.19,23.87,22.77,23.54
2011-10-19,40835,23.52,23.55,22.96,23.09
2011-10-20,40836,23.02,23.18,22.51,22.96
2011-10-21,40837,23.4,24.38,23.2,24.35
2011-10-24,40840,24.28,25.24,24.25,24.98
2011-10-25,40841,24.86,25.19,24.16,24.86
2011-10-26,40842,25.02,25.28,24.69,24.99
2011-10-27,40843,25.87,26.47,25.2,26.32
2011-10-28,40844,26.22,26.55,26,26.45
2011-10-31,40847,25.92,26.16,25.61,25.85
2011-11-01,40848,24.82,24.9,23.25,23.33
2011-11-02,40849,23.7,23.73,22.92,23.2
2011-11-03,40850,23.82,24.11,22.76,24.03
2011-11-04,40851,23.89,23.92,23.31,23.61
2011-11-07,40854,23.93,24.15,23.52,24.01
2011-11-08,40855,24.2,25.17,23.98,25.04
2011-11-09,40856,23.07,23.57,22.15,22.31
2011-11-10,40857,22.44,22.85,21.93,22.7
2011-11-11,40858,22.95,23.1,22.22,22.51
2011-11-14,40861,22.56,23.29,22.51,22.99
2011-11-15,40862,22.81,23.53,22.6,23.35
2011-11-16,40863,23.24,23.35,22.62,22.65
2011-11-17,40864,22.72,22.75,21.56,21.79
2011-11-18,40865,22.01,22.18,21.62,21.68
2011-11-21,40868,21.1,21.18,20.54,21.05
2011-11-22,40869,20.92,21.12,20.7,20.73
2011-11-23,40870,20.48,20.69,20.06,20.24
2011-11-25,40872,20.22,20.71,20.21,20.34
2011-11-28,40875,20.95,21.43,20.65,20.74
2011-11-29,40876,20.73,20.85,20.3,20.31
2011-11-30,40877,21.02,21.31,20.94,21.29
2011-12-01,40878,21.24,21.77,20.93,20.96
2011-12-02,40879,21.35,21.73,21.13,21.28
2011-12-05,40882,21.52,21.99,21.43,21.59
2011-12-06,40883,21.6,21.88,21.28,21.68
2011-12-07,40884,21.62,22.11,21.48,21.94
2011-12-08,40885,21.76,21.76,20.85,20.98
2011-12-09,40886,21.09,21.4,21.06,21.15
2011-12-12,40889,20.66,20.9,20.56,20.8
2011-12-13,40890,20.96,21,19.95,20.11
2011-12-14,40891,19.95,20.01,19.42,19.47
2011-12-15,40892,19.76,20.21,19.51,20.1
2011-12-16,40893,20.16,20.52,19.97,20.15
2011-12-19,40896,20.12,20.23,19,19.05
2011-12-20,40897,19.42,19.9,19.35,19.69
2011-12-21,40898,19.74,20.43,19.58,20.32
2011-12-22,40899,20.25,20.85,20.17,20.7
2011-12-23,40900,20.81,20.89,20.45,20.5
2011-12-27,40904,20.43,20.43,20.08,20.09
2011-12-28,40905,20.08,20.13,19.76,19.86
2011-12-29,40906,19.85,20.25,19.71,20.21
2011-12-30,40907,20.12,20.37,20.05,20.27
2012-01-03,40911,20.83,21.18,20.75,21.05
2012-01-04,40912,21.05,21.37,20.75,21.15
2012-01-05,40913,21.1,22.29,20.96,22.17
2012-01-06,40914,22.26,23.03,22.24,22.92
2012-01-09,40917,23.2,23.43,22.7,22.84
2012-01-10,40918,23.22,23.4,22.77,23.24
2012-01-11,40919,23.37,24.64,23.34,24.47
2012-01-12,40920,24.35,24.82,23.76,24.67
2012-01-13,40921,24.27,24.65,23.91,24.29
2012-01-17,40925,24.6,24.68,24.16,24.2
2012-01-18,40926,24.27,24.58,24.02,24.51
2012-01-19,40927,24.69,24.98,24.45,24.82
2012-01-20,40928,24.93,25.11,24.84,25
2012-01-23,40931,25.14,25.25,24.79,24.92
2012-01-24,40932,24.84,24.93,24.5,24.79
2012-01-25,40933,24.89,25.01,24.38,24.92
2012-01-26,40934,25.1,25.5,24.6,24.72
2012-01-27,40935,23.8,24.54,23.33,24.37
2012-01-30,40938,24.06,24.57,23.95,24.23
2012-01-31,40939,24.53,24.59,23.95,24.02
2012-02-01,40940,24.33,24.58,24.07,24.37
2012-02-02,40941,24.65,24.69,24.3,24.31
2012-02-03,40942,25,26.44,24.79,26.18
2012-02-06,40945,26.47,26.83,25.95,26.7
2012-02-07,40946,26.62,26.62,26.15,26.22
2012-02-08,40947,26.31,26.42,25.58,25.75
2012-02-09,40948,25.96,26.22,25.5,25.74
2012-02-10,40949,25.48,25.52,25.25,25.5
2012-02-13,40952,26,26,25.21,25.34
2012-02-14,40953,25.21,25.45,25,25.4
2012-02-15,40954,25.73,25.75,24.9,24.93
2012-02-16,40955,25.29,27.26,25.27,27.17
2012-02-17,40956,27.17,27.68,27.01,27.34
