Date,Date2,Open,High,Low,Close
2011-07-07,40731,26.49,26.88,26.36,26.77
2011-07-08,40732,26.54,26.98,26.51,26.92
2011-07-11,40735,26.62,26.8,26.49,26.63
2011-07-12,40736,26.55,26.79,26.34,26.54
2011-07-13,40737,26.6,26.96,26.51,26.63
2011-07-14,40738,26.62,27.01,26.36,26.47
2011-07-15,40739,26.47,26.93,26.47,26.78
2011-07-18,40742,26.63,26.9,26.26,26.59
2011-07-19,40743,26.81,27.64,26.78,27.54
2011-07-20,40744,27.28,27.35,26.98,27.06
2011-07-21,40745,27.04,27.31,26.65,27.09
2011-07-22,40746,26.86,27.55,26.68,27.53
2011-07-25,40749,27.26,28.09,27.19,27.91
2011-07-26,40750,27.82,28.14,27.78,28.08
2011-07-27,40751,27.88,27.98,27.2,27.33
2011-07-28,40752,27.29,28.07,27.21,27.72
2011-07-29,40753,27.52,27.71,27.26,27.4
2011-08-01,40756,27.51,27.68,26.75,27.27
2011-08-02,40757,26.98,27.45,26.76,26.8
2011-08-03,40758,26.83,27,26.48,26.92
2011-08-04,40759,26.53,26.87,25.93,25.94
2011-08-05,40760,25.97,26.1,25.23,25.68
2011-08-08,40763,25.02,25.6,24.39,24.48
2011-08-09,40764,24.71,25.62,24.03,25.58
2011-08-10,40765,24.95,25.09,24.1,24.2
2011-08-11,40766,24.5,25.38,24.4,25.19
2011-08-12,40767,25.13,25.34,24.65,25.1
2011-08-15,40770,25.24,25.58,25.15,25.51
2011-08-16,40771,25.21,25.59,25.05,25.35
2011-08-17,40772,25.25,25.7,24.93,25.25
2011-08-18,40773,24.57,25.09,24.03,24.67
2011-08-19,40774,24.41,24.62,23.91,24.05
2011-08-22,40777,24.42,24.49,23.79,23.98
2011-08-23,40778,24.03,24.75,24.03,24.72
2011-08-24,40779,24.65,24.93,24.42,24.9
2011-08-25,40780,25.08,25.16,24.5,24.57
2011-08-26,40781,24.51,25.34,24.42,25.25
2011-08-29,40784,25.53,25.86,25.37,25.84
2011-08-30,40785,25.73,26.43,25.7,26.23
2011-08-31,40786,26.29,26.71,26.26,26.6
2011-09-01,40787,26.46,26.86,26.21,26.21
2011-09-02,40788,25.78,26,25.66,25.8
2011-09-06,40792,25.2,25.59,25.11,25.51
2011-09-07,40793,25.69,26,25.57,26
2011-09-08,40794,26,26.66,25.95,26.22
2011-09-09,40795,26,26.18,25.5,25.74
2011-09-12,40798,25.44,25.93,25.27,25.89
2011-09-13,40799,25.92,26.18,25.81,26.04
2011-09-14,40800,26.17,26.8,25.89,26.5
2011-09-15,40801,26.73,27.03,26.31,26.99
