Date,Date2,Open,High,Low,Close
2011-07-07,40731,45.9,46.16,45.35,45.85
2011-07-08,40732,44.87,45.31,44.47,45.06
2011-07-11,40735,44.23,44.42,43.37,43.54
2011-07-12,40736,43.31,43.8,42.9,43.14
2011-07-13,40737,43.51,44.75,43.32,44.08
2011-07-14,40738,44.26,44.26,42.1,42.78
2011-07-15,40739,43,43.28,42.63,43.01
2011-07-18,40742,42.92,43.36,41.83,42.16
2011-07-19,40743,42.5,42.95,42.16,42.93
2011-07-20,40744,43.18,43.69,42.7,43.37
2011-07-21,40745,43.55,44.85,43.25,44.65
2011-07-22,40746,44.59,45,44.06,44.81
2011-07-25,40749,44.17,44.71,44.02,44.29
2011-07-26,40750,42.86,42.86,40.32,40.62
2011-07-27,40751,40.97,41.21,39.75,39.81
2011-07-28,40752,39.84,40.88,39.5,39.73
2011-07-29,40753,39.23,40.53,39.05,39.99
2011-08-01,40756,40.96,41.04,38.93,39.34
2011-08-02,40757,39.1,39.73,37.8,37.8
2011-08-03,40758,38.06,38.14,35.95,37.3
2011-08-04,40759,36.29,36.37,33.62,33.87
2011-08-05,40760,34.7,35.06,31.7,33.24
2011-08-08,40763,31.62,31.98,28.63,28.86
2011-08-09,40764,29.81,30.27,28.1,30.25
2011-08-10,40765,29.44,30.32,28.53,28.86
2011-08-11,40766,29.57,30.87,28.51,30.51
2011-08-12,40767,31.14,31.58,30.74,31.09
2011-08-15,40770,31.48,32.04,31.37,31.89
2011-08-16,40771,31.15,31.45,30.13,30.14
2011-08-17,40772,30.48,30.88,29.95,30.09
2011-08-18,40773,28.88,28.94,27.07,27.28
2011-08-19,40774,26.65,27.88,26.34,26.36
2011-08-22,40777,27.24,27.36,25.44,25.58
2011-08-23,40778,25.78,27.26,25.48,27.25
2011-08-24,40779,26.78,27.29,26.25,27.23
2011-08-25,40780,27.49,27.88,26.36,26.51
2011-08-26,40781,26.27,27.77,25.87,27.55
2011-08-29,40784,28.25,30.06,28.1,30.04
2011-08-30,40785,29.75,30.33,29.24,30.1
2011-08-31,40786,30.88,31.24,29.58,30.11
2011-09-01,40787,30,30.16,29.02,29.05
2011-09-02,40788,28.06,28.11,27.45,27.66
2011-09-06,40792,26.76,27.45,26.4,27.39
2011-09-07,40793,28.11,30.19,28.08,29.92
